Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Shukrullo Ibragimov,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Sunatullo Dzhobirov (Сунатулло Джобиров),39.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0
3.0,Firuz Yuldashev,49.0,5.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0
4.0,Khasanzhon Babadzhanov,51.0,6.0,3.0,6.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,6.0,4.0,4.0
5.0,Jaloliddin Rasulov,67.0,2.0,15.0,2.0,6.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,11.0,8.0,4.0
6.0,Nizomidin Nizomiddinov,72.0,14.0,6.0,8.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,3.0,4.0,6.0,4.0
7.0,Bahodur Odinaev,76.0,12.0,11.0,7.0,6.0,2.0,3.0,2.0,3.0,7.0,2.0,4.0,5.0,8.0,4.0
7.0,Shamsullo Ibragimov,76.0,11.0,7.0,10.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,2.0,8.0,7.0,4.0
9.0,Jaleel Davlatmamadov,77.0,10.0,2.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,4.0
10.0,Ismoil Khamidov,79.0,8.0,9.0,11.0,6.0,2.0,3.0,2.0,3.0,6.0,2.0,4.0,11.0,8.0,4.0
11.0,Muhammad Nazhmudinov,80.0,9.0,15.0,4.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,2.0
12.0,Otabek Kamilov,83.0,4.0,15.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,3.0
12.0,Eradz Aknazarov,83.0,17.0,8.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,7.0,5.0,4.0
14.0,Muhammadamin Odinaev,84.0,15.0,10.0,9.0,5.0,2.0,3.0,2.0,3.0,8.0,2.0,4.0,9.0,8.0,4.0
15.0,Mirzorakhim Olimzoda,86.0,7.0,15.0,11.0,6.0,2.0,2.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,4.0
16.0,Jameel Davlatmamadov,90.0,13.0,12.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,4.0
17.0,Bakhtiyor Bedimogov,93.0,16.0,13.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,10.0,8.0,4.0
18.0,Anvarjohn Baratov,97.0,18.0,14.0,11.0,6.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,11.0,8.0,4.0
