Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),54.0,1.0,2.0,1.0,2.0,2.0,2.0,10.0,3.0,2.0,10.0,1.0,3.0,2.0,1.0,4.0,2.0,6.0
2.0,Parist Pariyakanok (พริษฐ์ ปริยกนก),117.0,4.0,1.0,3.0,3.0,6.0,7.0,34.0,12.0,3.0,2.0,7.0,4.0,3.0,5.0,6.0,2.0,15.0
3.0,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),134.0,3.0,4.0,2.0,1.0,1.0,1.0,17.0,1.0,1.0,12.0,3.0,6.0,43.0,16.0,6.0,2.0,15.0
4.0,Itthikorn Jittaveeroj (อิทธิกร จิตทวีโรจน์),248.0,8.0,6.0,10.0,12.0,10.0,9.0,8.0,7.0,11.0,91.0,11.0,1.0,13.0,34.0,5.0,2.0,10.0
5.0,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),256.0,2.0,5.0,4.0,4.0,7.0,6.0,34.0,13.0,5.0,21.0,2.0,14.0,66.0,50.0,6.0,2.0,15.0
6.0,Chawin Ratanasiri (ชวิน รัตนสิริ),298.0,18.0,52.0,8.0,5.0,3.0,3.0,20.0,49.0,6.0,47.0,5.0,50.0,6.0,3.0,6.0,2.0,15.0
7.0,Anukun Supcharoenkun (อนุกูล ทรัพย์เจริญกุล),308.0,39.0,20.0,26.0,27.0,14.0,17.0,25.0,4.0,19.0,36.0,28.0,5.0,23.0,2.0,6.0,2.0,15.0
8.0,Atis Prasitvatanakul (อธิษฐ์ ประสิทธิ์วัฒนะกุล),339.0,7.0,31.0,16.0,13.0,8.0,10.0,14.0,49.0,30.0,3.0,9.0,16.0,61.0,49.0,6.0,2.0,15.0
9.0,Worapat Charoensuk (วรปรัชญ์ เจริญสุข),355.0,32.0,7.0,11.0,15.0,9.0,15.0,34.0,9.0,16.0,44.0,6.0,8.0,35.0,91.0,6.0,2.0,15.0
10.0,Thada Phuenghua (ธาดา พึ่งฮั้ว),367.0,5.0,3.0,5.0,18.0,43.0,44.0,34.0,49.0,7.0,26.0,4.0,76.0,1.0,29.0,6.0,2.0,15.0
11.0,Matthew Siegel,420.0,11.0,30.0,21.0,34.0,43.0,44.0,34.0,30.0,39.0,22.0,63.0,2.0,18.0,6.0,6.0,2.0,15.0
12.0,Sivakorn Makcharoen (ศิวกร มรรคเจริญ),428.0,55.0,24.0,9.0,10.0,11.0,12.0,23.0,49.0,51.0,79.0,19.0,29.0,7.0,27.0,6.0,2.0,15.0
13.0,Hemara-Ussadorn Phonthaklang (เหมราอัสดร พลทะกลาง),472.0,70.0,9.0,47.0,44.0,25.0,25.0,19.0,15.0,59.0,33.0,32.0,19.0,22.0,30.0,6.0,2.0,15.0
14.0,Baramee Pookcharoen (บารมี พุกเจริญ),485.0,26.0,38.0,23.0,21.0,17.0,21.0,5.0,13.0,4.0,91.0,24.0,7.0,159.0,19.0,6.0,2.0,9.0
15.0,Bannawit Pimpanuwat (บรรณวิชญ์ พิมพานุวัตร),493.0,90.0,44.0,33.0,56.0,43.0,44.0,11.0,49.0,28.0,7.0,14.0,9.0,16.0,26.0,6.0,2.0,15.0
16.0,Korakot Inkaew (กรกฎ อิ่นแก้ว),501.0,35.0,71.0,27.0,31.0,22.0,28.0,2.0,1.0,22.0,43.0,43.0,69.0,37.0,58.0,3.0,2.0,7.0
17.0,Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),536.0,54.0,47.0,30.0,53.0,31.0,27.0,33.0,18.0,45.0,3.0,54.0,13.0,69.0,36.0,6.0,2.0,15.0
