Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Moez Boussarsar,33.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0
2.0,Hassen Kallala,62.0,3.0,4.0,2.0,2.0,2.0,5.0,11.0,4.0,3.0,8.0,2.0,4.0,1.0,1.0,3.0,2.0,5.0
3.0,Emna Boughizane,91.0,1.0,8.0,5.0,5.0,10.0,5.0,10.0,4.0,2.0,8.0,1.0,5.0,13.0,4.0,3.0,2.0,5.0
4.0,Achraf Chaouch,101.0,8.0,2.0,6.0,3.0,3.0,5.0,11.0,3.0,5.0,8.0,8.0,8.0,5.0,16.0,3.0,2.0,5.0
5.0,Aziz Boussarsar,110.0,11.0,13.0,14.0,7.0,6.0,5.0,11.0,4.0,13.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,5.0
6.0,Amine Chouchane,138.0,5.0,12.0,4.0,9.0,10.0,5.0,11.0,4.0,6.0,8.0,10.0,18.0,10.0,16.0,3.0,2.0,5.0
7.0,Taha Ben Salah,142.0,13.0,11.0,8.0,6.0,5.0,2.0,1.0,1.0,9.0,4.0,11.0,18.0,34.0,16.0,1.0,1.0,1.0
8.0,Rayan Kerkeni,145.0,9.0,3.0,18.0,14.0,10.0,5.0,11.0,4.0,10.0,8.0,17.0,2.0,8.0,16.0,3.0,2.0,5.0
9.0,Youssef Kallala,153.0,4.0,5.0,12.0,25.0,10.0,5.0,11.0,4.0,4.0,8.0,28.0,7.0,4.0,16.0,3.0,2.0,5.0
10.0,Selim Makni,173.0,7.0,7.0,11.0,25.0,10.0,5.0,3.0,4.0,7.0,8.0,7.0,43.0,23.0,6.0,2.0,2.0,3.0
11.0,Mahmoud Ibrahim,187.0,21.0,20.0,24.0,16.0,7.0,5.0,11.0,4.0,12.0,5.0,13.0,21.0,7.0,11.0,3.0,2.0,5.0
12.0,Ferielle Hammami,206.0,23.0,6.0,9.0,11.0,10.0,5.0,11.0,4.0,47.0,8.0,28.0,25.0,6.0,3.0,3.0,2.0,5.0
