Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Ahmet Çınar Ablak,48.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,2.0,4.0,1.0,1.0,8.0,2.0,2.0,5.0
2.0,Samir Homsi,132.0,3.0,7.0,4.0,2.0,4.0,8.0,6.0,25.0,3.0,53.0,2.0,2.0,1.0,5.0,2.0,5.0
3.0,Can Gücüyener,233.0,10.0,37.0,12.0,3.0,7.0,6.0,38.0,8.0,10.0,21.0,6.0,32.0,25.0,11.0,2.0,5.0
4.0,Burak Erdil Biçer,276.0,16.0,3.0,9.0,11.0,11.0,22.0,38.0,9.0,5.0,30.0,8.0,82.0,22.0,3.0,2.0,5.0
5.0,Ahmet Güzel,288.0,2.0,26.0,6.0,10.0,8.0,11.0,13.0,12.0,8.0,53.0,53.0,17.0,53.0,9.0,2.0,5.0
6.0,Alper Şakım,339.0,24.0,12.0,13.0,8.0,5.0,7.0,38.0,23.0,13.0,2.0,18.0,74.0,82.0,13.0,2.0,5.0
7.0,Ahmet Berkalp Tarakçı,364.0,12.0,31.0,3.0,6.0,12.0,12.0,38.0,51.0,18.0,53.0,12.0,52.0,32.0,25.0,2.0,5.0
8.0,Mert Sağdınç,384.0,8.0,28.0,2.0,5.0,3.0,4.0,38.0,51.0,7.0,36.0,14.0,63.0,11.0,107.0,2.0,5.0
9.0,Berk Rende,392.0,25.0,20.0,8.0,12.0,10.0,20.0,38.0,15.0,12.0,53.0,15.0,130.0,17.0,10.0,2.0,5.0
10.0,Muhammed Volkan Güngör,440.0,18.0,29.0,15.0,24.0,42.0,38.0,38.0,30.0,14.0,43.0,56.0,58.0,24.0,4.0,2.0,5.0
11.0,Mustafa Berke Özcan,462.0,85.0,16.0,48.0,38.0,26.0,18.0,14.0,5.0,74.0,53.0,24.0,28.0,10.0,16.0,2.0,5.0
12.0,Utku Yılmaz,467.0,22.0,18.0,17.0,15.0,9.0,9.0,38.0,51.0,52.0,9.0,46.0,81.0,92.0,1.0,2.0,5.0
13.0,Emirhan Gökçe,472.0,40.0,34.0,52.0,32.0,19.0,21.0,38.0,51.0,35.0,10.0,26.0,34.0,59.0,14.0,2.0,5.0
14.0,Bora Azizoğlu,495.0,47.0,43.0,28.0,42.0,43.0,38.0,38.0,51.0,54.0,7.0,36.0,41.0,1.0,19.0,2.0,5.0
15.0,Emir Yusuf Çiçekdemir,496.0,31.0,86.0,7.0,34.0,43.0,38.0,38.0,30.0,58.0,46.0,27.0,10.0,3.0,38.0,2.0,5.0
16.0,Ömer Çetinkaya,520.0,6.0,10.0,5.0,7.0,43.0,38.0,26.0,3.0,3.0,37.0,81.0,64.0,83.0,107.0,2.0,5.0
17.0,Onur Karahan,584.0,34.0,32.0,20.0,26.0,25.0,17.0,38.0,51.0,25.0,19.0,81.0,31.0,71.0,107.0,2.0,5.0
18.0,Akın Köse,590.0,6.0,2.0,24.0,14.0,15.0,19.0,38.0,51.0,87.0,47.0,81.0,47.0,97.0,55.0,2.0,5.0
19.0,Deniz Han Bilyay,592.0,33.0,40.0,34.0,55.0,33.0,31.0,38.0,51.0,70.0,16.0,3.0,21.0,53.0,107.0,2.0,5.0
20.0,Sarp Abaç,636.0,98.0,58.0,95.0,60.0,28.0,28.0,38.0,25.0,81.0,1.0,28.0,38.0,28.0,23.0,2.0,5.0
21.0,Zeki Hotoğlu,639.0,96.0,71.0,55.0,61.0,31.0,38.0,23.0,33.0,48.0,6.0,13.0,29.0,95.0,33.0,2.0,5.0
22.0,Can Ersoy,646.0,9.0,58.0,81.0,131.0,43.0,38.0,38.0,36.0,41.0,51.0,23.0,19.0,15.0,56.0,2.0,5.0
22.0,Ataberk Şencan,646.0,54.0,79.0,42.0,68.0,43.0,38.0,38.0,49.0,36.0,53.0,34.0,6.0,45.0,54.0,2.0,5.0
24.0,Muhammed Enes Ertaş,652.0,44.0,119.0,36.0,33.0,29.0,24.0,2.0,2.0,31.0,53.0,50.0,15.0,100.0,107.0,2.0,5.0
25.0,İdil Camgöz,667.0,48.0,53.0,23.0,51.0,43.0,38.0,38.0,51.0,57.0,53.0,81.0,17.0,39.0,68.0,2.0,5.0
26.0,Selim Sungur,680.0,43.0,17.0,60.0,131.0,43.0,38.0,38.0,34.0,37.0,53.0,81.0,67.0,9.0,22.0,2.0,5.0
27.0,Alp Terliksiz,683.0,79.0,52.0,40.0,28.0,22.0,15.0,38.0,51.0,62.0,53.0,20.0,59.0,86.0,71.0,2.0,5.0
28.0,Buğra Tosun,686.0,83.0,84.0,63.0,30.0,35.0,33.0,21.0,51.0,21.0,26.0,16.0,115.0,84.0,17.0,2.0,5.0
29.0,Ela Akar,696.0,27.0,45.0,10.0,13.0,21.0,38.0,38.0,51.0,46.0,53.0,61.0,91.0,88.0,107.0,2.0,5.0
30.0,Dora Saylıkoğlu,700.0,71.0,58.0,38.0,57.0,43.0,38.0,38.0,51.0,68.0,53.0,31.0,102.0,33.0,12.0,2.0,5.0
31.0,Yunus Uludag,712.0,14.0,8.0,25.0,131.0,43.0,38.0,38.0,51.0,73.0,53.0,81.0,30.0,13.0,107.0,2.0,5.0
32.0,Birkan Mayadağ,714.0,35.0,91.0,16.0,25.0,16.0,16.0,38.0,51.0,96.0,53.0,9.0,37.0,218.0,6.0,2.0,5.0
33.0,Ahmet Yusuf Uysal,716.0,44.0,24.0,33.0,52.0,43.0,38.0,38.0,43.0,90.0,38.0,58.0,51.0,50.0,107.0,2.0,5.0
34.0,Batu Zengel,764.0,95.0,77.0,29.0,84.0,43.0,38.0,38.0,51.0,24.0,53.0,29.0,138.0,30.0,28.0,2.0,5.0
35.0,Ahmet Nadir Yücekaya,771.0,17.0,56.0,70.0,47.0,23.0,25.0,38.0,51.0,38.0,53.0,81.0,100.0,58.0,107.0,2.0,5.0
36.0,Melih Kayra Kadıoğlu,784.0,84.0,106.0,83.0,46.0,43.0,38.0,33.0,32.0,66.0,53.0,40.0,118.0,5.0,30.0,2.0,5.0
37.0,Ali Kemal Özbek,787.0,37.0,15.0,45.0,96.0,43.0,38.0,38.0,29.0,17.0,53.0,81.0,90.0,177.0,21.0,2.0,5.0
38.0,Orkun Efe Dahar,796.0,51.0,23.0,84.0,99.0,37.0,34.0,38.0,51.0,85.0,39.0,81.0,46.0,14.0,107.0,2.0,5.0
39.0,Bedirhan Alagöz,815.0,102.0,101.0,104.0,90.0,43.0,38.0,38.0,36.0,44.0,53.0,45.0,92.0,7.0,15.0,2.0,5.0
40.0,Ali Atmali,816.0,184.0,78.0,82.0,44.0,17.0,10.0,38.0,51.0,111.0,53.0,10.0,14.0,69.0,48.0,2.0,5.0
41.0,Mete İsbir,826.0,29.0,14.0,85.0,131.0,43.0,38.0,38.0,51.0,64.0,53.0,81.0,50.0,35.0,107.0,2.0,5.0
42.0,Zeynep Sevde Kara,832.0,15.0,68.0,21.0,131.0,43.0,38.0,38.0,51.0,34.0,53.0,81.0,54.0,91.0,107.0,2.0,5.0
43.0,Ömer Furkan Günler,834.0,65.0,119.0,44.0,29.0,18.0,23.0,25.0,21.0,82.0,53.0,21.0,61.0,160.0,106.0,2.0,5.0
