Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Lev Golub (Лев Голуб),105.0,3.0,1.0,5.0,2.0,8.0,8.0,10.0,4.0,2.0,2.0,7.0,2.0,3.0,3.0,15.0,11.0,19.0
2.0,Igor Tarasov,138.0,2.0,2.0,6.0,6.0,6.0,6.0,11.0,6.0,10.0,10.0,3.0,9.0,6.0,8.0,21.0,11.0,15.0
3.0,Vladyslav Zhydkov (Владислав Жидков),242.0,24.0,7.0,2.0,10.0,5.0,5.0,36.0,21.0,17.0,8.0,10.0,6.0,7.0,6.0,21.0,11.0,46.0
4.0,Pavlo Bondar (Павло Бондар),248.0,22.0,11.0,20.0,18.0,21.0,21.0,8.0,9.0,5.0,7.0,22.0,18.0,10.0,18.0,7.0,11.0,20.0
5.0,Vladyslav Hryniuk (Владислав Гринюк),254.0,4.0,5.0,3.0,1.0,1.0,1.0,69.0,36.0,8.0,17.0,1.0,12.0,8.0,10.0,21.0,11.0,46.0
6.0,Ihor Sukhovatenko (Ігор Суховатенко),354.0,15.0,31.0,4.0,5.0,2.0,2.0,17.0,21.0,7.0,96.0,2.0,42.0,11.0,30.0,21.0,11.0,37.0
7.0,Vladyslav Zhyhailo (Владислав Жигайло),454.0,27.0,18.0,25.0,21.0,14.0,13.0,61.0,13.0,9.0,58.0,34.0,25.0,42.0,34.0,21.0,11.0,28.0
8.0,Maksym Yeli (Максим Єлі),487.0,7.0,13.0,1.0,3.0,3.0,3.0,139.0,59.0,1.0,47.0,11.0,47.0,37.0,38.0,21.0,11.0,46.0
9.0,Ihor Bilchenko (Ігор Більченко),493.0,14.0,3.0,14.0,27.0,26.0,28.0,42.0,17.0,16.0,27.0,64.0,58.0,36.0,65.0,21.0,11.0,24.0
10.0,Maksym Oliynyk,517.0,38.0,15.0,22.0,19.0,18.0,9.0,139.0,17.0,33.0,45.0,9.0,46.0,12.0,17.0,21.0,11.0,46.0
11.0,Daniel Yakhkind (Даніель Яхкінд),551.0,9.0,58.0,18.0,24.0,30.0,62.0,21.0,36.0,21.0,23.0,31.0,77.0,48.0,61.0,21.0,11.0,0.0
12.0,Volodymyr Korol (Володимир Король),567.0,44.0,85.0,23.0,15.0,22.0,18.0,5.0,51.0,14.0,31.0,33.0,103.0,38.0,46.0,14.0,11.0,14.0
13.0,Vlad Hordiienko,569.0,36.0,13.0,56.0,63.0,36.0,50.0,51.0,51.0,45.0,21.0,41.0,3.0,14.0,11.0,21.0,11.0,46.0
14.0,Andrii Vasyliev,588.0,5.0,10.0,7.0,9.0,11.0,16.0,134.0,67.0,11.0,95.0,30.0,40.0,46.0,29.0,21.0,11.0,46.0
15.0,Ihor Kastranets (Ігор Кастранець),622.0,91.0,63.0,40.0,25.0,20.0,22.0,139.0,63.0,36.0,1.0,23.0,19.0,1.0,1.0,21.0,11.0,46.0
16.0,Artem Melikian (Артем Мелікян),643.0,37.0,25.0,57.0,60.0,25.0,39.0,40.0,9.0,39.0,63.0,45.0,49.0,35.0,66.0,20.0,11.0,23.0
17.0,Mykhailo Lagoida (Михайло Лагойда),686.0,52.0,8.0,50.0,67.0,53.0,49.0,14.0,183.0,63.0,14.0,46.0,24.0,4.0,31.0,9.0,11.0,8.0
18.0,Nikita Kovalchuk (Нікіта Ковальчук),688.0,8.0,61.0,9.0,8.0,9.0,7.0,82.0,21.0,6.0,56.0,17.0,119.0,196.0,11.0,21.0,11.0,46.0
19.0,Leonid Palchenko (Леонід Пальченко),764.0,42.0,64.0,37.0,26.0,24.0,20.0,139.0,108.0,79.0,4.0,38.0,29.0,27.0,49.0,21.0,11.0,46.0
20.0,Oleksandr Seniuk (Олександр Сенюк),849.0,54.0,64.0,24.0,39.0,52.0,91.0,52.0,44.0,92.0,6.0,5.0,5.0,19.0,224.0,21.0,11.0,46.0
21.0,Yurii Riabov (Юрій Рябов),873.0,169.0,146.0,70.0,36.0,17.0,23.0,24.0,7.0,126.0,19.0,20.0,99.0,76.0,4.0,16.0,9.0,12.0
22.0,Mykhailo Akhunov (Михайло Ахунов),884.0,32.0,52.0,41.0,97.0,114.0,91.0,139.0,63.0,47.0,3.0,27.0,10.0,51.0,39.0,21.0,11.0,46.0
23.0,Denys Shyshliannykov (Денис Шишлянников),889.0,115.0,44.0,49.0,29.0,32.0,32.0,139.0,17.0,87.0,64.0,72.0,66.0,14.0,51.0,21.0,11.0,46.0
24.0,Serhii Fedorniak (Сергій Федорняк),907.0,11.0,47.0,11.0,11.0,10.0,12.0,139.0,183.0,60.0,84.0,21.0,14.0,2.0,224.0,21.0,11.0,46.0
24.0,Maksym B. Tsymbaliuk (Максим Б. Цимбалюк),907.0,23.0,34.0,54.0,37.0,62.0,66.0,139.0,116.0,95.0,37.0,36.0,51.0,23.0,56.0,21.0,11.0,46.0
26.0,Oleksandr Kibenko (Олександр Кібенко),909.0,40.0,36.0,39.0,41.0,114.0,91.0,139.0,116.0,32.0,36.0,84.0,4.0,31.0,28.0,21.0,11.0,46.0
27.0,Danylo Harbar (Данило Гарбар),913.0,62.0,55.0,47.0,48.0,49.0,70.0,139.0,51.0,55.0,76.0,65.0,7.0,40.0,71.0,21.0,11.0,46.0
28.0,Valerii Kolesnichenko (Валерій Колесніченко),928.0,47.0,20.0,45.0,47.0,114.0,91.0,49.0,36.0,31.0,154.0,56.0,92.0,26.0,42.0,21.0,11.0,46.0
29.0,Pavlo Huk (Павло Гук),962.0,89.0,23.0,76.0,142.0,114.0,91.0,38.0,7.0,59.0,72.0,75.0,52.0,42.0,4.0,21.0,11.0,46.0
30.0,Yevhen Bondarenko (Євген Бондаренко),982.0,156.0,103.0,92.0,79.0,50.0,53.0,60.0,36.0,83.0,40.0,51.0,20.0,22.0,59.0,21.0,11.0,46.0
31.0,Ivan Kravchenko (Іван Кравченко),984.0,83.0,55.0,72.0,81.0,114.0,91.0,50.0,36.0,18.0,30.0,48.0,61.0,13.0,154.0,21.0,11.0,46.0
32.0,Dmytro Zhyhai (Дмитро Жигай),1011.0,75.0,138.0,17.0,68.0,46.0,54.0,70.0,36.0,50.0,66.0,112.0,33.0,58.0,110.0,21.0,11.0,46.0
33.0,Georgiy Titov (Георгій Тітов),1020.0,123.0,108.0,61.0,57.0,34.0,31.0,18.0,13.0,125.0,67.0,19.0,145.0,100.0,99.0,10.0,7.0,3.0
34.0,Yelysei Hovorun (Єлисей Говорун),1053.0,56.0,93.0,35.0,109.0,91.0,91.0,7.0,51.0,84.0,97.0,145.0,28.0,94.0,2.0,21.0,11.0,38.0
