Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb
1.0,Ali Alshamsi,24.0,5.0,1.0,3.0,2.0,8.0,1.0,3.0,1.0
2.0,Mohammad Algargawi,27.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,3.0
3.0,Nasir Ali Mohammed Dawood Abdalla,28.0,1.0,4.0,1.0,1.0,3.0,3.0,5.0,10.0
4.0,Khalid Alsuwaidi,29.0,2.0,5.0,2.0,5.0,1.0,3.0,7.0,4.0
5.0,Mohamed Rashid Alsuwaidi,31.0,4.0,2.0,5.0,5.0,2.0,3.0,8.0,2.0
6.0,Abdulla Ibrahim Abdulla Al Hammadi,45.0,6.0,6.0,7.0,5.0,4.0,3.0,4.0,10.0
7.0,Sultan Abdulkarim Alzarooni,56.0,7.0,10.0,6.0,3.0,8.0,3.0,10.0,9.0
8.0,Saeed Hisham ALdah,63.0,11.0,14.0,9.0,4.0,6.0,3.0,6.0,10.0
9.0,Omar Khaled Alblooshi,64.0,14.0,7.0,9.0,5.0,8.0,3.0,13.0,5.0
9.0,Humaid Alshamsi,64.0,10.0,8.0,9.0,5.0,8.0,3.0,11.0,10.0
11.0,Eisa Humaid,67.0,12.0,10.0,8.0,5.0,8.0,3.0,15.0,6.0
11.0,Nayef Nawwaf Alhashmi,67.0,17.0,9.0,9.0,5.0,8.0,2.0,9.0,8.0
13.0,Abdulla Almarzooqi,78.0,18.0,13.0,9.0,5.0,8.0,3.0,12.0,10.0
14.0,James Mclean,80.0,15.0,15.0,9.0,5.0,8.0,3.0,15.0,10.0
14.0,Latefa Mashal Al Hammadi,80.0,20.0,23.0,9.0,5.0,8.0,3.0,2.0,10.0
14.0,Hamad Rafi,80.0,19.0,12.0,9.0,5.0,7.0,3.0,15.0,10.0
17.0,Majid Alqassim,83.0,8.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
18.0,Shaiban Al Shaibani,84.0,9.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
19.0,Khaled Alseiari,88.0,13.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
20.0,Khalid Amir Ali AlGergawi,91.0,21.0,20.0,9.0,5.0,8.0,3.0,15.0,10.0
20.0,Moritz Schoen,91.0,28.0,16.0,9.0,5.0,8.0,3.0,15.0,7.0
20.0,Salim Ahmed Alsharifi,91.0,16.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
20.0,Saeed Alkaabi,91.0,22.0,19.0,9.0,5.0,8.0,3.0,15.0,10.0
24.0,Rashid Alqassem,92.0,24.0,18.0,9.0,5.0,8.0,3.0,15.0,10.0
25.0,Nasir Ahmed Salim Alsuwaidi,94.0,27.0,17.0,9.0,5.0,8.0,3.0,15.0,10.0
26.0,Shayan Ahmed,95.0,23.0,22.0,9.0,5.0,8.0,3.0,15.0,10.0
27.0,Saif Abdulla Almuhairi,100.0,25.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
28.0,Aryan Raj,101.0,26.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
29.0,Muhammad Zaid Hashmi,103.0,29.0,25.0,9.0,5.0,8.0,3.0,14.0,10.0
30.0,Nathaneal Abraham Sajan,105.0,30.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
31.0,Laila Alseiari,106.0,31.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
32.0,Suhail Mashal AlHammadi,107.0,33.0,24.0,9.0,5.0,8.0,3.0,15.0,10.0
32.0,Faheema Kattakath Sanil,107.0,32.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
32.0,Mohammed Khalid,107.0,36.0,21.0,9.0,5.0,8.0,3.0,15.0,10.0
35.0,Ameer Muhammed,109.0,34.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
36.0,Suresh Narayanasamy,110.0,35.0,25.0,9.0,5.0,8.0,3.0,15.0,10.0
