Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Bruno Lezama,58.0,2.0,5.0,7.0,7.0,5.0,5.0,2.0,1.0,2.0,7.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0
2.0,Víctor Gálvez,82.0,3.0,7.0,8.0,6.0,4.0,6.0,7.0,5.0,7.0,2.0,3.0,6.0,3.0,3.0,3.0,3.0,6.0
3.0,Manuel Malvárez,92.0,5.0,14.0,5.0,3.0,3.0,3.0,20.0,7.0,1.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,6.0
4.0,Sebastiano Benato,130.0,12.0,1.0,9.0,13.0,10.0,10.0,8.0,4.0,17.0,4.0,10.0,1.0,15.0,4.0,3.0,3.0,6.0
5.0,Francisco Alonso,135.0,13.0,8.0,4.0,4.0,7.0,7.0,10.0,5.0,10.0,15.0,12.0,9.0,5.0,14.0,3.0,3.0,6.0
6.0,Brian Hambeck,154.0,8.0,4.0,10.0,12.0,19.0,15.0,20.0,12.0,3.0,14.0,1.0,2.0,11.0,11.0,3.0,3.0,6.0
6.0,Agustín Diano,154.0,4.0,6.0,3.0,1.0,1.0,1.0,20.0,24.0,13.0,20.0,11.0,23.0,7.0,8.0,3.0,3.0,6.0
8.0,Christian Goñi,171.0,16.0,2.0,16.0,18.0,12.0,9.0,1.0,3.0,5.0,19.0,9.0,24.0,9.0,19.0,3.0,3.0,3.0
9.0,Octavio Arocena,205.0,6.0,22.0,1.0,2.0,2.0,2.0,20.0,25.0,9.0,23.0,13.0,7.0,33.0,28.0,3.0,3.0,6.0
10.0,Munemichi Suzuki,233.0,17.0,10.0,19.0,21.0,19.0,15.0,20.0,25.0,16.0,23.0,21.0,4.0,4.0,7.0,3.0,3.0,6.0
11.0,Diego Moraes,263.0,20.0,3.0,12.0,19.0,15.0,14.0,20.0,10.0,12.0,23.0,30.0,16.0,29.0,28.0,3.0,3.0,6.0
12.0,Mateo Rodríguez,270.0,11.0,18.0,11.0,8.0,6.0,4.0,20.0,10.0,8.0,23.0,22.0,35.0,54.0,28.0,3.0,3.0,6.0
13.0,Rodrigo Burone,303.0,1.0,40.0,2.0,10.0,19.0,15.0,20.0,25.0,11.0,23.0,30.0,13.0,54.0,28.0,3.0,3.0,6.0
14.0,Rodrigo Benitez,315.0,15.0,31.0,15.0,22.0,19.0,15.0,20.0,25.0,6.0,23.0,30.0,18.0,54.0,10.0,3.0,3.0,6.0
15.0,Luca Fontana,323.0,30.0,24.0,18.0,42.0,19.0,15.0,20.0,25.0,30.0,9.0,5.0,10.0,44.0,20.0,3.0,3.0,6.0
16.0,Franco Rivero,327.0,21.0,18.0,29.0,25.0,19.0,15.0,15.0,25.0,14.0,23.0,30.0,58.0,10.0,13.0,3.0,3.0,6.0
16.0,Ernesto Cabrera,327.0,27.0,33.0,37.0,17.0,17.0,15.0,4.0,8.0,20.0,8.0,30.0,34.0,39.0,28.0,3.0,3.0,4.0
18.0,Gennaro Monetti,333.0,31.0,27.0,35.0,37.0,19.0,15.0,20.0,25.0,38.0,12.0,23.0,19.0,8.0,12.0,3.0,3.0,6.0
19.0,Ricardo Piotti,340.0,47.0,15.0,24.0,16.0,11.0,8.0,20.0,20.0,46.0,23.0,27.0,44.0,12.0,15.0,3.0,3.0,6.0
20.0,Mateo de León,343.0,49.0,51.0,27.0,27.0,19.0,15.0,20.0,19.0,37.0,1.0,19.0,5.0,16.0,26.0,3.0,3.0,6.0
