Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Jasur Beknazov (Джасур Бекназов),169.0,35.0,12.0,7.0,4.0,4.0,6.0,17.0,12.0,19.0,16.0,6.0,3.0,2.0,8.0,3.0,3.0,12.0
2.0,Timur Mavlyanov,175.0,11.0,6.0,2.0,3.0,3.0,1.0,27.0,31.0,3.0,22.0,13.0,26.0,3.0,6.0,3.0,3.0,12.0
3.0,Akmal Abduazizov,196.0,25.0,15.0,16.0,15.0,8.0,7.0,16.0,11.0,30.0,7.0,7.0,12.0,6.0,7.0,3.0,3.0,8.0
4.0,Igor Semyonov,207.0,22.0,9.0,5.0,5.0,5.0,5.0,28.0,22.0,12.0,35.0,2.0,22.0,13.0,4.0,3.0,3.0,12.0
4.0,Bekzodjon Yusupov,207.0,29.0,28.0,20.0,11.0,7.0,8.0,3.0,6.0,20.0,1.0,25.0,16.0,11.0,16.0,2.0,2.0,2.0
6.0,Feruz Gulomov,228.0,17.0,3.0,13.0,10.0,13.0,11.0,21.0,6.0,13.0,33.0,12.0,15.0,8.0,38.0,3.0,3.0,9.0
7.0,Abror Abduazizov,247.0,26.0,13.0,18.0,29.0,20.0,15.0,28.0,3.0,11.0,9.0,10.0,13.0,19.0,15.0,3.0,3.0,12.0
8.0,Anvar Abdullaev,257.0,2.0,8.0,4.0,6.0,20.0,15.0,28.0,31.0,14.0,35.0,1.0,2.0,35.0,38.0,3.0,3.0,12.0
8.0,Tolibjon Tokhirov,257.0,30.0,7.0,10.0,20.0,20.0,15.0,8.0,16.0,53.0,3.0,14.0,14.0,4.0,25.0,3.0,3.0,12.0
10.0,Oleg Ten (Олег Тен),267.0,4.0,4.0,25.0,24.0,20.0,15.0,28.0,31.0,20.0,12.0,24.0,9.0,7.0,26.0,3.0,3.0,12.0
11.0,Sohiba Abdumalikova,268.0,20.0,10.0,23.0,18.0,20.0,15.0,28.0,14.0,33.0,5.0,16.0,1.0,9.0,38.0,3.0,3.0,12.0
12.0,Davron Takhirov,274.0,5.0,19.0,8.0,8.0,11.0,10.0,4.0,8.0,26.0,35.0,4.0,11.0,114.0,2.0,3.0,3.0,3.0
13.0,Abdurauf Boymuminov,323.0,23.0,44.0,6.0,7.0,6.0,15.0,28.0,31.0,18.0,21.0,9.0,18.0,41.0,38.0,3.0,3.0,12.0
13.0,Shakhzod Takhirov,323.0,14.0,4.0,24.0,72.0,20.0,15.0,28.0,4.0,1.0,35.0,17.0,10.0,23.0,38.0,3.0,3.0,12.0
15.0,Umidjon Zafarov (Умиджон Зафаров),342.0,1.0,1.0,1.0,72.0,20.0,15.0,28.0,2.0,6.0,35.0,3.0,8.0,114.0,18.0,3.0,3.0,12.0
16.0,Nurkhon Ugilbekov,356.0,9.0,50.0,9.0,2.0,1.0,3.0,12.0,24.0,24.0,35.0,19.0,4.0,114.0,38.0,3.0,3.0,6.0
17.0,Nurmuhammad Karimov,366.0,19.0,26.0,15.0,9.0,20.0,15.0,28.0,31.0,2.0,35.0,8.0,62.0,57.0,21.0,3.0,3.0,12.0
