Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,333mbf
1.0,Ricardo Zapata Cruz,63.0,11.0,12.0,3.0,2.0,3.0,1.0,2.0,9.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0
2.0,Bernardo Torres,86.0,2.0,9.0,1.0,1.0,2.0,3.0,5.0,10.0,2.0,8.0,2.0,7.0,16.0,12.0,2.0,4.0
3.0,Oscar Alberto Ceballos Contreras,108.0,15.0,7.0,12.0,10.0,5.0,4.0,3.0,2.0,9.0,6.0,6.0,17.0,3.0,6.0,2.0,1.0
4.0,Rafael Antonio Sanchez,119.0,5.0,4.0,10.0,11.0,10.0,7.0,10.0,3.0,8.0,21.0,1.0,5.0,4.0,14.0,2.0,4.0
5.0,Franklin Ronquillo,134.0,9.0,12.0,5.0,4.0,14.0,14.0,8.0,27.0,6.0,9.0,11.0,1.0,6.0,2.0,2.0,4.0
6.0,José Miguel Lanz Mendoza,146.0,12.0,6.0,4.0,5.0,16.0,18.0,22.0,11.0,3.0,13.0,8.0,12.0,5.0,5.0,2.0,4.0
6.0,Daniel Alberto Sánchez Dugarte,146.0,4.0,1.0,7.0,7.0,7.0,18.0,22.0,21.0,4.0,20.0,3.0,2.0,15.0,9.0,2.0,4.0
8.0,Juan F. Wulff,167.0,6.0,0.0,15.0,16.0,13.0,0.0,22.0,27.0,0.0,33.0,0.0,0.0,0.0,29.0,2.0,4.0
9.0,Kevin Ruiz,227.0,10.0,22.0,8.0,20.0,15.0,18.0,17.0,5.0,11.0,26.0,20.0,6.0,23.0,20.0,2.0,4.0
10.0,Carlos Miguel Parra Gonzalez,234.0,32.0,28.0,14.0,8.0,1.0,2.0,6.0,1.0,16.0,19.0,12.0,48.0,17.0,24.0,2.0,4.0
11.0,Jurgens Filiaggi,269.0,25.0,17.0,32.0,30.0,19.0,13.0,7.0,4.0,27.0,1.0,31.0,30.0,14.0,13.0,2.0,4.0
12.0,Jesus Gil,276.0,13.0,33.0,19.0,12.0,26.0,18.0,22.0,27.0,13.0,33.0,15.0,8.0,13.0,18.0,2.0,4.0
13.0,Elias Jesús Velásquez Lozano,283.0,27.0,14.0,16.0,9.0,8.0,6.0,22.0,18.0,17.0,33.0,25.0,26.0,27.0,29.0,2.0,4.0
14.0,Jacob Sanchez,303.0,52.0,17.0,43.0,37.0,17.0,15.0,4.0,14.0,45.0,3.0,18.0,18.0,9.0,7.0,2.0,2.0
15.0,José Alberto Fuenmayor Garcia,317.0,1.0,16.0,6.0,3.0,27.0,18.0,22.0,27.0,1.0,33.0,22.0,45.0,61.0,29.0,2.0,4.0
16.0,Louis Rodriguez,321.0,3.0,24.0,2.0,6.0,25.0,18.0,22.0,27.0,19.0,33.0,10.0,36.0,61.0,29.0,2.0,4.0
16.0,Rafael Alvarez,321.0,40.0,20.0,31.0,14.0,12.0,10.0,22.0,14.0,53.0,15.0,28.0,19.0,8.0,29.0,2.0,4.0
18.0,Juan Camilo Peñaranda Navarro,349.0,19.0,17.0,42.0,28.0,27.0,18.0,22.0,27.0,28.0,23.0,33.0,22.0,33.0,4.0,2.0,4.0
19.0,Enrymar Cisneros,365.0,47.0,66.0,22.0,19.0,11.0,9.0,22.0,7.0,76.0,12.0,14.0,11.0,22.0,21.0,2.0,4.0
19.0,Javier Rangel,365.0,41.0,60.0,58.0,33.0,20.0,12.0,22.0,5.0,10.0,10.0,7.0,47.0,7.0,27.0,2.0,4.0
21.0,Richard Alejandro Sánchez Andueza,367.0,23.0,31.0,17.0,71.0,27.0,18.0,13.0,27.0,12.0,33.0,17.0,27.0,26.0,19.0,2.0,4.0
22.0,Daniel Andres Ruiz Araque,373.0,29.0,21.0,26.0,71.0,27.0,18.0,22.0,27.0,15.0,33.0,34.0,14.0,19.0,11.0,2.0,4.0
23.0,José Gregorio Pernía Salas,396.0,34.0,2.0,41.0,48.0,27.0,18.0,22.0,27.0,21.0,5.0,9.0,53.0,61.0,22.0,2.0,4.0
24.0,Santiago Jose Alvarádo Romero,410.0,26.0,28.0,9.0,41.0,27.0,18.0,22.0,20.0,69.0,33.0,30.0,41.0,11.0,29.0,2.0,4.0
25.0,Benjamín Leonardo Solórzano Guerra,419.0,18.0,39.0,21.0,22.0,27.0,18.0,22.0,27.0,25.0,33.0,56.0,15.0,61.0,29.0,2.0,4.0
26.0,Jorge Ronaldo Quintero Rodriguez,430.0,39.0,8.0,81.0,71.0,27.0,18.0,22.0,7.0,20.0,17.0,56.0,20.0,10.0,28.0,2.0,4.0
27.0,Andriuth Peña,443.0,35.0,45.0,27.0,23.0,18.0,11.0,9.0,27.0,23.0,33.0,52.0,44.0,61.0,29.0,2.0,4.0
27.0,Alfonso Jose Torres Alvarez,443.0,48.0,36.0,53.0,21.0,9.0,8.0,22.0,27.0,74.0,24.0,32.0,36.0,18.0,29.0,2.0,4.0
29.0,Miguelangel Isaac Ratia Parra,455.0,8.0,56.0,28.0,38.0,27.0,18.0,22.0,27.0,18.0,33.0,56.0,28.0,61.0,29.0,2.0,4.0
30.0,Ricardo Alexander Bustamante Mercado,458.0,37.0,33.0,52.0,26.0,27.0,18.0,22.0,27.0,7.0,33.0,56.0,24.0,61.0,29.0,2.0,4.0
31.0,Martín Augusto Reigadas Teran,471.0,33.0,41.0,33.0,36.0,27.0,18.0,22.0,27.0,42.0,33.0,56.0,51.0,20.0,26.0,2.0,4.0
32.0,Cristian Alberto Rivas Rivas,477.0,17.0,10.0,51.0,46.0,27.0,18.0,22.0,17.0,152.0,14.0,56.0,10.0,2.0,29.0,2.0,4.0
32.0,Leandro Casais Reverón,477.0,60.0,30.0,39.0,32.0,27.0,18.0,22.0,27.0,34.0,33.0,21.0,38.0,61.0,29.0,2.0,4.0
34.0,Oscar Daniel Banda Arias,496.0,38.0,43.0,36.0,43.0,27.0,18.0,22.0,27.0,50.0,33.0,56.0,23.0,45.0,29.0,2.0,4.0
35.0,Andrey Eloy Valero,539.0,30.0,5.0,67.0,71.0,27.0,18.0,11.0,27.0,29.0,28.0,56.0,106.0,29.0,29.0,2.0,4.0
36.0,Nayarid Villarreal,541.0,73.0,3.0,44.0,71.0,27.0,18.0,21.0,27.0,55.0,33.0,39.0,34.0,61.0,29.0,2.0,4.0
37.0,Carlos Jose Medina Manzanilla,543.0,22.0,25.0,45.0,71.0,27.0,18.0,22.0,27.0,51.0,33.0,56.0,101.0,31.0,8.0,2.0,4.0
38.0,Xabier Monsalve,545.0,62.0,52.0,56.0,50.0,27.0,18.0,22.0,13.0,75.0,3.0,56.0,81.0,21.0,3.0,2.0,4.0
39.0,Sebastián Andrés González Coronel,554.0,24.0,47.0,29.0,71.0,27.0,18.0,22.0,27.0,52.0,33.0,56.0,52.0,61.0,29.0,2.0,4.0
40.0,Miguel Vidal,590.0,107.0,11.0,50.0,58.0,27.0,18.0,22.0,24.0,116.0,33.0,24.0,4.0,61.0,29.0,2.0,4.0
41.0,Luis Marquez,595.0,55.0,86.0,35.0,35.0,24.0,18.0,22.0,27.0,62.0,33.0,48.0,71.0,44.0,29.0,2.0,4.0
42.0,Luis Sanchez,604.0,28.0,23.0,34.0,25.0,27.0,18.0,22.0,27.0,31.0,33.0,56.0,184.0,61.0,29.0,2.0,4.0
43.0,Luis Antonio Silva,610.0,69.0,32.0,93.0,56.0,27.0,18.0,22.0,27.0,59.0,33.0,49.0,33.0,57.0,29.0,2.0,4.0
44.0,Daniel Parra,614.0,70.0,61.0,64.0,27.0,27.0,18.0,22.0,27.0,39.0,31.0,56.0,76.0,61.0,29.0,2.0,4.0
45.0,Sebastián Navarrete,618.0,20.0,88.0,13.0,71.0,27.0,18.0,22.0,27.0,88.0,33.0,56.0,59.0,61.0,29.0,2.0,4.0
46.0,Oscar Andelfo Dúran Caicedo,645.0,14.0,46.0,30.0,71.0,27.0,18.0,14.0,27.0,14.0,33.0,47.0,208.0,61.0,29.0,2.0,4.0
47.0,Luis Alejandro Bello Guilarte,646.0,72.0,38.0,88.0,71.0,27.0,18.0,22.0,27.0,41.0,33.0,56.0,57.0,61.0,29.0,2.0,4.0
48.0,Jesus Gabriel Ramirez Maita,657.0,65.0,65.0,72.0,71.0,27.0,18.0,22.0,27.0,80.0,33.0,56.0,25.0,61.0,29.0,2.0,4.0
49.0,Rafael Torres,660.0,121.0,26.0,77.0,71.0,27.0,18.0,22.0,27.0,66.0,33.0,56.0,20.0,61.0,29.0,2.0,4.0
50.0,Jorge Daniel Quintero Rodriguez,664.0,112.0,62.0,111.0,71.0,27.0,18.0,22.0,18.0,79.0,11.0,56.0,9.0,33.0,29.0,2.0,4.0
51.0,Carlos Gonzalez,666.0,74.0,76.0,40.0,18.0,27.0,18.0,22.0,27.0,22.0,33.0,5.0,208.0,61.0,29.0,2.0,4.0
52.0,Jehiel Nicolás Araujo Castillo,681.0,68.0,37.0,69.0,71.0,27.0,18.0,22.0,27.0,33.0,33.0,56.0,124.0,61.0,29.0,2.0,4.0
53.0,Randi Zerpa,687.0,63.0,91.0,46.0,71.0,27.0,18.0,22.0,11.0,46.0,30.0,56.0,110.0,61.0,29.0,2.0,4.0
54.0,Wilber José García Benitez,697.0,46.0,64.0,24.0,71.0,27.0,18.0,22.0,27.0,32.0,33.0,29.0,208.0,61.0,29.0,2.0,4.0
54.0,Luis Manuel Salas,697.0,81.0,84.0,60.0,71.0,27.0,18.0,22.0,27.0,48.0,33.0,56.0,74.0,61.0,29.0,2.0,4.0
56.0,Víctor Torres,700.0,86.0,79.0,71.0,42.0,23.0,18.0,22.0,26.0,102.0,33.0,38.0,83.0,42.0,29.0,2.0,4.0
57.0,Andrés Felipe Pérez Amado,702.0,113.0,59.0,94.0,71.0,27.0,18.0,22.0,27.0,106.0,33.0,56.0,16.0,25.0,29.0,2.0,4.0
58.0,Freddy Alejandro Ferh,707.0,102.0,48.0,80.0,47.0,27.0,18.0,20.0,25.0,149.0,22.0,56.0,31.0,61.0,15.0,2.0,4.0
59.0,Sergio Tulio Gonzalez Aguilar,721.0,21.0,81.0,47.0,45.0,21.0,16.0,22.0,27.0,167.0,33.0,42.0,103.0,61.0,29.0,2.0,4.0
60.0,Moisés Rodríguez,724.0,65.0,81.0,20.0,29.0,27.0,18.0,1.0,27.0,167.0,33.0,41.0,119.0,61.0,29.0,2.0,4.0
61.0,Diego Sebastian Medina Ramos,735.0,85.0,103.0,76.0,39.0,27.0,18.0,22.0,27.0,167.0,33.0,13.0,29.0,61.0,29.0,2.0,4.0
62.0,Jesús Uzcanga,736.0,98.0,50.0,37.0,71.0,27.0,18.0,22.0,27.0,128.0,33.0,56.0,85.0,61.0,17.0,2.0,4.0
63.0,José Ángel Luyo Santana,749.0,117.0,69.0,85.0,71.0,27.0,18.0,22.0,27.0,86.0,33.0,40.0,58.0,61.0,29.0,2.0,4.0
64.0,Luigi Nicola Castoro Macho,750.0,51.0,40.0,155.0,71.0,27.0,18.0,22.0,27.0,43.0,33.0,56.0,120.0,52.0,29.0,2.0,4.0
65.0,Bryan Gomez,754.0,57.0,96.0,38.0,40.0,27.0,18.0,22.0,27.0,36.0,33.0,56.0,208.0,61.0,29.0,2.0,4.0
65.0,Anibal Muñoz,754.0,147.0,73.0,91.0,71.0,27.0,18.0,22.0,27.0,77.0,33.0,56.0,42.0,35.0,29.0,2.0,4.0
67.0,Asdrúbal José Pérez Benitez,761.0,58.0,43.0,62.0,71.0,27.0,18.0,22.0,27.0,40.0,33.0,56.0,208.0,61.0,29.0,2.0,4.0
68.0,Christian Bustamante,777.0,114.0,93.0,103.0,71.0,27.0,18.0,22.0,27.0,68.0,33.0,56.0,49.0,61.0,29.0,2.0,4.0
69.0,Robert Vielma,779.0,80.0,27.0,155.0,71.0,27.0,18.0,22.0,27.0,83.0,18.0,56.0,99.0,61.0,29.0,2.0,4.0
70.0,Esleiber Rodriguez,812.0,104.0,76.0,61.0,54.0,27.0,18.0,22.0,27.0,58.0,33.0,56.0,180.0,61.0,29.0,2.0,4.0
71.0,Orlando Macho,822.0,116.0,90.0,86.0,68.0,27.0,18.0,22.0,27.0,35.0,33.0,56.0,179.0,30.0,29.0,2.0,4.0
72.0,Cristopher Bolivar,823.0,131.0,113.0,55.0,31.0,27.0,18.0,22.0,27.0,44.0,33.0,50.0,176.0,61.0,29.0,2.0,4.0
73.0,Juan Joel Gonzalez Silva,827.0,127.0,35.0,92.0,71.0,27.0,18.0,22.0,27.0,46.0,33.0,56.0,208.0,49.0,10.0,2.0,4.0
74.0,Gabriel Morales,832.0,111.0,63.0,78.0,71.0,27.0,18.0,19.0,27.0,93.0,33.0,56.0,143.0,58.0,29.0,2.0,4.0
75.0,Felipe Santamaria Ruiz,836.0,44.0,110.0,155.0,71.0,27.0,18.0,22.0,27.0,70.0,33.0,56.0,107.0,61.0,29.0,2.0,4.0
76.0,Adolfo José Rondón Chacón,844.0,92.0,42.0,57.0,71.0,27.0,18.0,22.0,27.0,95.0,33.0,56.0,208.0,61.0,29.0,2.0,4.0
77.0,Alejandro Cabrera,867.0,110.0,118.0,84.0,55.0,27.0,18.0,22.0,27.0,49.0,33.0,43.0,208.0,38.0,29.0,2.0,4.0
78.0,Jeicok Dylan Guzmán,869.0,95.0,169.0,155.0,71.0,27.0,18.0,22.0,27.0,54.0,33.0,56.0,46.0,61.0,29.0,2.0,4.0
