Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Ruben Grobler,South Africa,80.0,6.0,6.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,5.0,8.0
2.0,Ryan Pin Harry,Mauritius,181.0,41.0,62.0,0.0,0.0,10.0,12.0,0.0,0.0,7.0,2.0,0.0,0.0,24.0,0.0,16.0,7.0,0.0
3.0,Maverick Pearson,South Africa,217.0,12.0,4.0,14.0,11.0,13.0,11.0,12.0,6.0,11.0,28.0,10.0,11.0,20.0,26.0,10.0,7.0,11.0
4.0,Moez Boussarsar,Tunisia,219.0,10.0,1.0,10.0,10.0,11.0,13.0,23.0,32.0,3.0,32.0,14.0,1.0,12.0,8.0,16.0,7.0,16.0
5.0,Osman Badroodin,South Africa,229.0,18.0,7.0,5.0,4.0,5.0,5.0,56.0,2.0,8.0,34.0,9.0,15.0,11.0,2.0,16.0,7.0,25.0
6.0,Daniel Rush,South Africa,235.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0,48.0,22.0,13.0,2.0,10.0,56.0,7.0,16.0,7.0,25.0
7.0,Dylan Swarts,South Africa,264.0,34.0,27.0,8.0,13.0,6.0,9.0,1.0,28.0,43.0,27.0,13.0,21.0,15.0,14.0,2.0,1.0,2.0
8.0,Heinrich de Lange,South Africa,298.0,32.0,38.0,26.0,16.0,16.0,17.0,7.0,6.0,26.0,19.0,1.0,36.0,16.0,20.0,6.0,7.0,9.0
9.0,Ayooluwa Samuel Dada,Nigeria,303.0,17.0,71.0,4.0,2.0,2.0,2.0,19.0,48.0,15.0,9.0,3.0,19.0,19.0,25.0,16.0,7.0,25.0
10.0,Rafik Eskandar,Egypt,333.0,30.0,18.0,6.0,5.0,8.0,6.0,69.0,19.0,55.0,1.0,11.0,31.0,25.0,1.0,16.0,7.0,25.0
11.0,Samuel Collett,South Africa,364.0,31.0,30.0,23.0,7.0,9.0,15.0,34.0,35.0,27.0,4.0,17.0,47.0,31.0,13.0,16.0,7.0,18.0
12.0,Conor Cronin,South Africa,398.0,91.0,91.0,28.0,12.0,14.0,7.0,13.0,11.0,31.0,5.0,16.0,28.0,10.0,11.0,11.0,6.0,13.0
13.0,Cameron Blumenow,South Africa,462.0,8.0,23.0,16.0,17.0,29.0,44.0,69.0,48.0,10.0,69.0,43.0,8.0,18.0,12.0,16.0,7.0,25.0
14.0,Hassen Kallala,Tunisia,477.0,15.0,36.0,11.0,15.0,33.0,56.0,69.0,48.0,21.0,69.0,7.0,44.0,1.0,4.0,16.0,7.0,25.0
15.0,Waseem Hoosain,South Africa,486.0,3.0,64.0,2.0,6.0,7.0,37.0,69.0,16.0,2.0,51.0,6.0,17.0,108.0,50.0,16.0,7.0,25.0
16.0,Joshua Christian Marais,South Africa,509.0,16.0,86.0,32.0,39.0,28.0,34.0,50.0,6.0,1.0,7.0,8.0,120.0,7.0,27.0,16.0,7.0,25.0
17.0,Marike Faught,South Africa,544.0,52.0,102.0,17.0,9.0,12.0,8.0,9.0,26.0,46.0,53.0,18.0,71.0,84.0,28.0,3.0,3.0,3.0
18.0,Jesse Osburn,South Africa,559.0,49.0,31.0,35.0,24.0,31.0,25.0,69.0,48.0,97.0,15.0,21.0,9.0,48.0,9.0,16.0,7.0,25.0
19.0,Shivaan Harichander,South Africa,620.0,2.0,11.0,12.0,107.0,68.0,56.0,69.0,48.0,4.0,69.0,42.0,20.0,59.0,5.0,16.0,7.0,25.0
20.0,Calum Visagie,South Africa,630.0,58.0,67.0,34.0,32.0,30.0,26.0,69.0,21.0,19.0,61.0,62.0,57.0,28.0,18.0,16.0,7.0,25.0
21.0,Omar Ziad,Egypt,633.0,75.0,18.0,40.0,41.0,25.0,21.0,69.0,48.0,69.0,22.0,32.0,53.0,34.0,38.0,16.0,7.0,25.0
22.0,Andreas de Lange,South Africa,661.0,46.0,15.0,42.0,52.0,43.0,56.0,69.0,14.0,51.0,31.0,63.0,88.0,40.0,3.0,16.0,7.0,25.0
23.0,Ali Antar,Egypt,698.0,182.0,53.0,51.0,23.0,21.0,24.0,69.0,48.0,114.0,10.0,15.0,6.0,3.0,31.0,16.0,7.0,25.0
24.0,Nicholas Gray,South Africa,714.0,0.0,0.0,0.0,0.0,68.0,56.0,69.0,48.0,0.0,69.0,249.0,0.0,0.0,107.0,16.0,7.0,25.0
25.0,Emna Boughizane,Tunisia,804.0,10.0,92.0,72.0,56.0,68.0,56.0,63.0,48.0,13.0,69.0,4.0,48.0,135.0,22.0,16.0,7.0,25.0
26.0,Pieterjan Joubert,South Africa,830.0,99.0,78.0,41.0,34.0,15.0,14.0,69.0,48.0,77.0,69.0,12.0,68.0,104.0,54.0,16.0,7.0,25.0
27.0,Mohamed Elkhatri,Morocco,843.0,4.0,29.0,7.0,14.0,68.0,56.0,25.0,9.0,9.0,69.0,30.0,43.0,325.0,107.0,16.0,7.0,25.0
28.0,Emile Compion,South Africa,853.0,159.0,25.0,48.0,21.0,23.0,20.0,14.0,11.0,71.0,20.0,56.0,217.0,118.0,23.0,8.0,7.0,12.0
