Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Riley Dexter,Australia,259.0,3.0,2.0,3.0,11.0,21.0,19.0,34.0,4.0,8.0,23.0,7.0,2.0,20.0,34.0,18.0,16.0,34.0
2.0,Jayden McNeill,Australia,308.0,5.0,15.0,10.0,7.0,14.0,10.0,15.0,1.0,3.0,50.0,39.0,29.0,30.0,15.0,24.0,26.0,15.0
3.0,Feliks Zemdegs,Australia,346.0,2.0,19.0,1.0,1.0,1.0,1.0,21.0,11.0,1.0,102.0,2.0,66.0,46.0,35.0,7.0,7.0,23.0
4.0,Dwyane Ramos,New Zealand,375.0,12.0,86.0,6.0,6.0,4.0,4.0,31.0,32.0,2.0,12.0,18.0,6.0,5.0,16.0,65.0,33.0,37.0
5.0,Jode Brewster,Australia,381.0,1.0,1.0,8.0,8.0,16.0,20.0,46.0,27.0,5.0,46.0,22.0,11.0,38.0,5.0,38.0,33.0,56.0
6.0,Jonathan Charlesworth,Australia,576.0,22.0,22.0,18.0,14.0,15.0,22.0,101.0,16.0,36.0,37.0,17.0,61.0,12.0,13.0,65.0,33.0,72.0
7.0,Joshua Hounslow,Australia,587.0,17.0,41.0,19.0,20.0,20.0,35.0,26.0,6.0,11.0,35.0,31.0,17.0,99.0,44.0,65.0,33.0,68.0
8.0,Tommy Kiprillis,Australia,634.0,14.0,7.0,33.0,22.0,33.0,26.0,62.0,2.0,21.0,85.0,45.0,59.0,34.0,10.0,65.0,33.0,83.0
8.0,Richard Yiheng Tao,New Zealand,634.0,22.0,30.0,21.0,16.0,29.0,28.0,52.0,81.0,27.0,1.0,21.0,4.0,72.0,28.0,65.0,33.0,104.0
10.0,Adrien Auvray Matyn,New Zealand,670.0,10.0,50.0,20.0,26.0,39.0,49.0,70.0,110.0,15.0,9.0,16.0,12.0,32.0,3.0,65.0,33.0,111.0
11.0,Lucas O'Connell,New Zealand,679.0,48.0,10.0,41.0,59.0,68.0,56.0,9.0,16.0,52.0,121.0,40.0,62.0,19.0,20.0,22.0,17.0,19.0
12.0,Andy Gong,Australia,713.0,24.0,43.0,9.0,15.0,6.0,11.0,121.0,23.0,24.0,110.0,37.0,26.0,55.0,11.0,65.0,33.0,100.0
13.0,David Epstein,Australia,751.0,15.0,45.0,11.0,17.0,34.0,73.0,20.0,4.0,45.0,49.0,48.0,32.0,117.0,2.0,65.0,33.0,141.0
14.0,Tyler Williams,Australia,777.0,36.0,31.0,45.0,51.0,31.0,18.0,83.0,32.0,55.0,39.0,53.0,53.0,28.0,58.0,60.0,33.0,71.0
15.0,Liam Highducheck,Australia,794.0,39.0,46.0,14.0,10.0,10.0,17.0,42.0,40.0,20.0,98.0,71.0,109.0,102.0,70.0,48.0,27.0,31.0
