Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
1.0,Theo Goluboff,Argentina,167.0,4.0,10.0,1.0,3.0,3.0,2.0,21.0,20.0,1.0,8.0,7.0,5.0,4.0,6.0,14.0,33.0,25.0
2.0,Gael Augusto Lapeyre,Argentina,279.0,8.0,11.0,10.0,8.0,10.0,7.0,24.0,23.0,7.0,1.0,12.0,1.0,7.0,11.0,80.0,33.0,26.0
3.0,Francisco Moraes Mandalozzo,Brazil,301.0,10.0,3.0,4.0,2.0,2.0,8.0,18.0,97.0,11.0,12.0,5.0,11.0,55.0,22.0,11.0,16.0,14.0
4.0,Vicenzo Guerino Cecchini,Brazil,308.0,5.0,4.0,2.0,9.0,12.0,14.0,37.0,13.0,9.0,30.0,23.0,23.0,21.0,1.0,28.0,28.0,49.0
5.0,Frederico Canal Gomes,Brazil,743.0,15.0,28.0,20.0,4.0,36.0,52.0,68.0,61.0,42.0,60.0,152.0,18.0,45.0,10.0,40.0,33.0,59.0
6.0,Felipe Medel,Chile,760.0,15.0,16.0,7.0,14.0,20.0,26.0,117.0,61.0,5.0,45.0,37.0,112.0,79.0,19.0,80.0,33.0,74.0
7.0,Enzo Mattos,Brazil,805.0,47.0,22.0,90.0,68.0,46.0,53.0,51.0,20.0,69.0,101.0,30.0,77.0,12.0,20.0,44.0,26.0,29.0
8.0,Manuel Gutman,Argentina,874.0,27.0,60.0,6.0,23.0,45.0,43.0,2.0,155.0,37.0,52.0,10.0,234.0,131.0,39.0,1.0,1.0,8.0
9.0,Guido Dipietro,Argentina,924.0,99.0,72.0,28.0,56.0,31.0,66.0,3.0,1.0,72.0,72.0,29.0,83.0,217.0,81.0,3.0,2.0,9.0
10.0,Pedro Giuseppe Garcia Milla,Peru,940.0,77.0,228.0,41.0,32.0,28.0,22.0,74.0,61.0,15.0,54.0,32.0,23.0,19.0,42.0,80.0,33.0,79.0
11.0,Bautista Bonazzola,Argentina,953.0,3.0,9.0,3.0,5.0,4.0,4.0,238.0,78.0,6.0,97.0,80.0,56.0,6.0,32.0,80.0,33.0,219.0
12.0,José Leonardo Chaparro Prieto,Colombia,1130.0,103.0,13.0,64.0,112.0,80.0,85.0,85.0,20.0,122.0,141.0,18.0,45.0,64.0,104.0,36.0,14.0,24.0
13.0,Francisco Hamlin,Argentina,1370.0,37.0,1.0,56.0,80.0,54.0,58.0,218.0,31.0,13.0,149.0,100.0,40.0,265.0,29.0,80.0,33.0,126.0
14.0,Federico da Fonseca,Argentina,1373.0,22.0,30.0,77.0,47.0,21.0,28.0,422.0,190.0,83.0,79.0,11.0,9.0,1.0,21.0,80.0,33.0,219.0
15.0,Bruno Lezama,Uruguay,1390.0,39.0,186.0,150.0,170.0,103.0,134.0,64.0,47.0,35.0,58.0,38.0,255.0,8.0,41.0,22.0,13.0,27.0
16.0,Pedro Alejandro Condo Tellez,Peru,1470.0,81.0,169.0,11.0,1.0,5.0,3.0,158.0,97.0,2.0,278.0,144.0,55.0,60.0,74.0,80.0,33.0,219.0
17.0,Lucas Ichiro Yunomae,Brazil,1529.0,91.0,243.0,18.0,12.0,6.0,24.0,156.0,97.0,50.0,109.0,73.0,64.0,143.0,111.0,80.0,33.0,219.0
18.0,Jose Carlos García Vélez,Colombia,1543.0,84.0,143.0,21.0,20.0,7.0,18.0,317.0,117.0,97.0,76.0,48.0,149.0,87.0,27.0,80.0,33.0,219.0
19.0,Oscar Nieto,Colombia,1564.0,52.0,79.0,113.0,65.0,51.0,34.0,108.0,117.0,60.0,236.0,107.0,203.0,9.0,148.0,66.0,32.0,84.0
20.0,Ronald Fernando Remuzgo Salazar,Peru,1572.0,38.0,41.0,26.0,25.0,42.0,37.0,607.0,117.0,93.0,93.0,20.0,36.0,22.0,43.0,80.0,33.0,219.0
21.0,Marcos Masini,Argentina,1692.0,122.0,72.0,107.0,135.0,277.0,206.0,143.0,8.0,30.0,129.0,61.0,56.0,20.0,63.0,77.0,33.0,153.0
22.0,Hector David Martinez Argaez,Colombia,1697.0,61.0,24.0,36.0,62.0,34.0,41.0,549.0,23.0,184.0,112.0,92.0,74.0,66.0,7.0,80.0,33.0,219.0
23.0,Caio Hideaki Sato,Brazil,1744.0,1.0,4.0,8.0,6.0,24.0,96.0,607.0,402.0,4.0,29.0,13.0,18.0,14.0,186.0,80.0,33.0,219.0
24.0,Michael Andres Castillo Lemus,Colombia,1828.0,43.0,16.0,5.0,21.0,32.0,40.0,607.0,117.0,58.0,235.0,28.0,130.0,91.0,73.0,80.0,33.0,219.0
25.0,Alejandro Restrepo Echeverri,Colombia,1850.0,87.0,102.0,167.0,159.0,132.0,223.0,225.0,13.0,162.0,39.0,82.0,54.0,11.0,136.0,73.0,33.0,152.0
26.0,Damián Campos,Argentina,1863.0,112.0,72.0,59.0,99.0,56.0,32.0,491.0,78.0,31.0,238.0,6.0,72.0,106.0,79.0,80.0,33.0,219.0
27.0,Matías Ponte,Argentina,1900.0,69.0,116.0,72.0,86.0,70.0,47.0,216.0,61.0,170.0,98.0,46.0,105.0,347.0,65.0,80.0,33.0,219.0
28.0,Jose Basaes,Chile,1953.0,25.0,94.0,41.0,42.0,124.0,103.0,607.0,138.0,137.0,104.0,42.0,82.0,69.0,13.0,80.0,33.0,219.0
29.0,João Vinícius de A. Santos,Brazil,2084.0,342.0,359.0,217.0,87.0,35.0,51.0,157.0,47.0,57.0,86.0,167.0,79.0,38.0,115.0,80.0,33.0,134.0
30.0,Leon Achata,Peru,2143.0,64.0,54.0,163.0,95.0,131.0,228.0,242.0,117.0,161.0,217.0,39.0,200.0,116.0,146.0,69.0,33.0,68.0
31.0,Tiago Akihiro Fujita,Brazil,2161.0,14.0,18.0,48.0,15.0,23.0,54.0,607.0,607.0,77.0,11.0,105.0,71.0,143.0,36.0,80.0,33.0,219.0
32.0,Josias Milan Sirpa Pinto,Bolivia,2192.0,112.0,195.0,22.0,13.0,9.0,14.0,413.0,138.0,96.0,142.0,136.0,118.0,36.0,416.0,80.0,33.0,219.0
